2.330	37.699	1.792
2.340	37.699	1.871
2.350	38.092	1.950
2.360	38.092	2.030
2.370	38.092	2.110
2.380	38.092	2.189
2.390	38.485	2.267
2.400	38.485	2.343
2.410	38.485	2.417
2.420	38.877	2.489
2.430	38.877	2.557
2.440	39.270	2.621
2.450	39.270	2.682
2.460	39.270	2.738
2.470	39.663	2.790
2.480	39.663	2.836
2.490	40.055	2.877
2.500	40.448	2.913
2.510	40.055	2.943
2.520	40.841	2.966
2.530	40.841	2.984
2.540	41.233	2.995
2.550	41.233	3.000
2.560	41.233	2.998
2.570	42.019	2.990
2.580	41.626	2.976
2.590	42.019	2.955
2.600	42.411	2.929
2.610	42.411	2.896
2.620	42.804	2.858
2.630	42.805	2.814
2.640	43.197	2.765
2.650	43.197	2.711
2.660	43.197	2.653
2.670	43.982	2.590
2.680	43.590	2.524
2.690	43.590	2.454
2.700	43.982	2.381
2.710	44.376	2.306
2.720	43.982	2.229
2.730	44.375	2.151
2.740	44.375	2.071
2.750	44.376	1.991
2.760	44.768	1.911
2.770	44.375	1.832
2.780	44.768	1.754
2.790	44.375	1.677
2.800	45.160	1.602
2.810	44.376	1.530
2.820	45.160	1.461
2.830	44.375	1.396
2.840	45.161	1.334
2.850	44.375	1.277
2.860	44.768	1.224
2.870	44.768	1.176
2.880	44.375	1.133
2.890	44.768	1.096
2.900	44.375	1.065
2.910	44.376	1.039
2.920	44.375	1.020
2.930	44.375	1.007
2.940	44.375	1.001
2.950	43.983	1.001
2.960	44.375	1.007
2.970	43.982	1.020
2.980	44.376	1.038
2.990	43.982	1.063
3.000	43.983	1.094
3.010	43.589	1.131
3.020	43.983	1.174
3.030	43.982	1.221
3.040	43.590	1.274
3.050	43.983	1.331
3.060	43.589	1.393
3.070	43.590	1.458
3.080	43.590	1.527
3.090	43.982	1.599
3.100	43.590	1.673
3.110	43.983	1.750
3.120	43.589	1.828
3.130	43.983	1.907
3.140	43.590	1.987
3.150	43.982	2.067
3.160	43.982	2.147
3.170	44.376	2.225
3.180	43.982	2.302
3.190	44.375	2.378
3.200	43.983	2.450
3.210	44.768	2.520
3.220	44.768	2.587
3.230	44.375	2.650
3.240	45.161	2.708
3.250	44.767	2.763
3.260	45.161	2.812
3.270	45.553	2.856
3.280	45.554	2.894
3.290	45.553	2.927
3.300	45.946	2.954
3.310	45.946	2.975
3.320	45.946	2.990
3.330	46.732	2.998
3.340	46.339	3.000
3.350	46.731	2.995
3.360	46.732	2.984
3.370	47.124	2.967
3.380	47.124	2.944
3.390	47.517	2.915
3.400	47.517	2.879
