1.340	30.000	28.667	1.170	1.333
1.350	30.000	28.667	1.194	1.333
1.360	30.000	28.667	1.218	1.333
1.370	30.000	29.060	1.110	0.940
1.380	30.000	29.060	1.127	0.940
1.390	30.000	28.667	1.276	1.333
1.400	30.000	29.060	1.168	0.940
1.410	30.000	29.060	1.185	0.940
1.420	30.000	29.060	1.201	0.940
1.430	30.000	29.060	1.218	0.940
1.440	30.000	29.060	1.235	0.940
1.450	30.000	29.060	1.252	0.940
1.460	30.000	29.453	1.136	0.547
1.470	30.000	29.060	1.279	0.940
1.480	30.000	29.060	1.296	0.940
1.490	30.000	29.453	1.180	0.547
1.500	30.000	29.453	1.190	0.547
1.510	30.000	29.060	1.333	0.940
1.520	30.000	29.845	1.084	0.155
1.530	30.000	29.453	1.219	0.547
1.540	30.000	29.453	1.229	0.547
1.550	30.000	29.453	1.239	0.547
1.560	30.000	29.453	1.249	0.547
1.570	30.000	29.452	1.259	0.548
1.580	30.000	29.845	1.136	0.155
1.590	30.000	29.452	1.272	0.548
1.600	30.000	29.845	1.149	0.155
1.610	30.000	29.452	1.284	0.548
1.620	30.000	29.845	1.161	0.155
1.630	30.000	29.845	1.164	0.155
1.640	30.000	29.845	1.167	0.155
1.650	30.000	29.845	1.170	0.155
1.660	30.000	29.845	1.173	0.155
1.670	30.000	29.845	1.175	0.155
1.680	30.000	30.238	1.045	-0.238
1.690	30.000	29.845	1.174	0.155
1.700	30.000	30.238	1.044	-0.238
1.710	30.000	29.845	1.172	0.155
1.720	30.000	30.238	1.042	-0.238
1.730	30.000	29.845	1.171	0.155
1.740	30.000	30.238	1.041	-0.238
1.750	30.000	29.845	1.169	0.155
1.760	30.000	30.238	1.039	-0.238
1.770	30.000	30.238	1.035	-0.238
1.780	30.000	30.238	1.031	-0.238
1.790	30.000	29.845	1.159	0.155
1.800	30.000	30.238	1.029	-0.238
1.810	30.000	30.238	1.025	-0.238
1.820	30.000	30.630	0.888	-0.630
1.830	30.000	29.845	1.142	0.155
1.840	30.000	30.238	1.012	-0.238
1.850	30.000	30.630	0.875	-0.630
1.860	30.000	30.238	0.997	-0.238
1.870	30.000	30.238	0.992	-0.238
1.880	30.000	30.238	0.988	-0.238
1.890	30.000	30.238	0.984	-0.238
1.900	30.000	30.238	0.979	-0.238
1.910	30.000	30.238	0.975	-0.238
1.920	30.000	30.238	0.971	-0.238
1.930	30.000	30.238	0.967	-0.238
1.940	30.000	30.238	0.962	-0.238
1.950	30.000	30.238	0.958	-0.238
1.960	30.000	30.630	0.821	-0.630
1.970	30.000	30.238	0.942	-0.238
1.980	30.000	29.845	1.071	0.155
1.990	30.000	30.238	0.941	-0.238
